subdistrict,city,n,lat,lon,spread_km
Mushareh,Maysan / Emarah,115,31.82448,47.43522,6.5
Ali Al-Sharqi,Maysan / Emarah,115,32.12519,46.73285,6.0
Majer-Kabeer center,Maysan / Emarah,107,31.58746,47.17296,6.5
Garaf,Thaiqar / Nassriya,100,31.29916,46.24054,4.9
Nashwa,Basrah,95,30.8153,47.60228,5.1
Thaqer,Basrah,93,31.17815,47.43065,6.0
Aaslah,Thaiqar / Nassriya,82,31.16728,46.59946,5.4
Ahmed Al-Rifaai,Maysan / Emarah,72,31.71046,46.7335,5.8
Garmat Bani Saed,Thaiqar / Nassriya,71,30.88056,46.5747,3.2
Said Dakheel,Thaiqar / Nassriya,69,31.13068,46.43266,5.9
Tar,Thaiqar / Nassriya,62,30.90653,46.64104,2.2
Fadhliyah,Thaiqar / Nassriya,61,30.95386,46.35504,5.3
Draji,Al-Muthanna / Samawa,60,31.15936,45.69615,4.1
Qalat Salih center,Maysan / Emarah,57,31.48327,47.29971,4.9
Najmi,Al-Muthanna / Samawa,54,31.69049,45.33088,7.2
Hilal,Al-Muthanna / Samawa,51,31.42923,45.1232,6.8
Bani Hashim,Maysan / Emarah,43,31.66241,47.50636,7.4
Majed,Al-Muthanna / Samawa,37,31.40188,45.1969,3.0
Ur,Thaiqar / Nassriya,35,31.04095,46.31063,0.9
Salman center,Al-Muthanna / Samawa,33,31.2169,44.93001,7.5
Adel,Maysan / Emarah,30,31.4879,47.11406,3.5
Salam-Emarah,Maysan / Emarah,24,31.53956,46.97336,5.7
Uzer,Maysan / Emarah,22,31.32351,47.41836,2.4
Ekeka,Thaiqar / Nassriya,20,30.91787,46.51032,3.4
Hamzah Al-Sharqi,Al-Muthanna / Samawa,11,31.62121,45.14153,6.3
Al-Sadoor,Al-Muthanna / Samawa,9,31.7225,45.31872,1.1
Beder,Al-Muthanna / Samawa,8,31.82,45.42921,15.0
Karkh center,Basrah,7,30.60725,47.78124,0.0
Madina Al-Qadima,Basrah,6,31.78906,45.64541,179.8
Maamun,Thaiqar / Nassriya,6,32.55404,45.18209,120.9
Summer,Thaiqar / Nassriya,4,30.67687,46.4369,0.0
Taji Camp,Basrah,4,33.52523,44.25356,0.0
Basrah,Basrah,4,30.52616,47.84918,0.0
Azizya center,Thaiqar / Nassriya,4,32.90663,45.05874,0.0
Ahrar,Al-Muthanna / Samawa,4,32.45732,45.54077,0.0
Nahrawan,Basrah,4,30.07252,47.91635,0.0
Karma,Maysan / Emarah,4,32.5007,46.56704,0.0
Nufar,Maysan / Emarah,4,31.6683,47.29475,0.0
Kufa,Thaiqar / Nassriya,3,31.96435,44.35971,0.0
Dar Al-Salam,Thaiqar / Nassriya,3,31.76081,46.14747,0.0
Hay center,Thaiqar / Nassriya,3,31.91125,45.95472,0.0
Jiseer,Al-Muthanna / Samawa,3,33.16385,44.57442,0.0
Sheikh Saad,Maysan / Emarah,3,32.28637,46.63253,0.0
Fahama,Basrah,3,33.4032,44.42158,0.0
Rusafa center,Maysan / Emarah,3,33.31599,44.49696,0.0
Baladruz center,Thaiqar / Nassriya,1,33.4764,45.087,0.0
